iter	Logloss
0	0.6864174027
1	0.6804097918
2	0.6747397343
3	0.6696578735
4	0.6649049784
5	0.6607835733
6	0.6569844524
7	0.653369262
8	0.6499035835
9	0.6469534623
10	0.6441109529
11	0.6414309402
12	0.6390738785
13	0.6367850594
14	0.6345853668
15	0.6327227612
16	0.630952493
17	0.6293211043
18	0.6277647295
19	0.6264514808
20	0.6250348189
21	0.6237893629
22	0.6226396914
23	0.6215811485
24	0.6206057427
25	0.6196548227
26	0.6187483203
27	0.6179086032
28	0.6170492726
29	0.6163580808
30	0.6156200395
31	0.6149431692
32	0.6142499788
33	0.6136980435
34	0.6131537098
35	0.6125302936
36	0.6120324221
37	0.6115570819
38	0.6111090708
39	0.6106259055
40	0.6102265354
41	0.6098579989
42	0.6094941084
43	0.6091422247
44	0.6086896615
45	0.6082716876
46	0.6079375515
47	0.6076465735
48	0.6073625114
49	0.6070751331
50	0.6068112754
51	0.6065666881
52	0.6063254273
53	0.6060085137
54	0.6057003235
55	0.6054289524
56	0.6052262354
57	0.6050451771
58	0.604852386
59	0.60469688
60	0.6044683068
61	0.6043006372
62	0.6041267245
63	0.6039021461
64	0.6037615174
65	0.6035522659
66	0.6034094521
67	0.6032818699
68	0.6031453847
69	0.6030092923
70	0.6028971783
71	0.6027594653
72	0.6026395965
73	0.6024872438
74	0.6023389212
75	0.6022024619
76	0.602119053
77	0.6020280858
78	0.6018734249
79	0.6017420585
80	0.6016492793
81	0.6015413984
82	0.6014605031
83	0.6013810733
84	0.6012932671
85	0.601159407
86	0.6010721048
87	0.6009838463
88	0.6008775961
89	0.6008018366
90	0.6007301182
91	0.6006622907
92	0.600593217
93	0.6005273288
94	0.6004669865
95	0.6003994993
96	0.6002996493
97	0.6002412488
98	0.6001858876
99	0.6000988772
100	0.6000532507
101	0.6000021984
102	0.5999456376
103	0.5998883441
104	0.5998192402
105	0.5997682464
106	0.5997198039
107	0.5996744465
108	0.5995873523
109	0.5995449005
110	0.5994846126
111	0.5994217099
112	0.5993758292
113	0.599330064
114	0.5992956322
115	0.5992072714
116	0.599169147
117	0.5991141011
118	0.599080829
119	0.5990413453
120	0.5990029255
121	0.5989576265
122	0.5988786294
123	0.5987949003
124	0.5987681554
125	0.5987108577
126	0.5986617387
127	0.5986411108
128	0.5986116281
129	0.598564168
130	0.5984764767
131	0.5984422749
132	0.5984061458
133	0.5983781683
134	0.5983575041
135	0.5983286492
136	0.598289346
137	0.5982398379
138	0.5981727646
139	0.5981191747
140	0.5980781647
141	0.5980573305
142	0.5980375084
143	0.597980074
144	0.5979039967
145	0.5978671795
146	0.5978187484
147	0.597790039
148	0.5977235081
149	0.5976929054
150	0.5976664258
151	0.5976152825
152	0.5975917753
153	0.5975703335
154	0.5975178331
155	0.5974854854
156	0.5974668912
157	0.5974472576
158	0.5974170367
159	0.5973800996
160	0.5973645976
161	0.5973489594
162	0.5973209947
163	0.5972762565
164	0.5972546699
165	0.5972122367
166	0.5971851842
167	0.5971606172
168	0.597137481
169	0.5970839862
170	0.5970618984
171	0.5970438519
172	0.5970070483
173	0.5969793628
174	0.596957747
175	0.5969410909
176	0.5969151217
177	0.5968944119
178	0.5968369412
179	0.5968309338
180	0.5967604631
181	0.5967401728
182	0.5967100652
183	0.5966935056
184	0.5966651713
185	0.5966469715
186	0.5966272565
187	0.5965964621
188	0.5965766019
189	0.5965356729
190	0.5965147867
191	0.5965048956
192	0.5964601392
193	0.5964374498
194	0.5963830051
195	0.5963723902
196	0.5963594985
197	0.5963295833
198	0.5963104732
199	0.59629418
200	0.5962520712
201	0.596224277
202	0.5962051093
203	0.5961796895
204	0.5961374346
205	0.5961041472
206	0.596076718
207	0.5960639337
208	0.596032071
209	0.5960083955
210	0.5959861304
211	0.5959730809
212	0.5959636987
213	0.5959401529
214	0.5959190503
215	0.5958951912
216	0.5958527064
217	0.5958235094
218	0.595801937
219	0.5957888899
220	0.5957722625
221	0.5957614244
222	0.5957455133
223	0.595699883
224	0.595666358
225	0.595662696
226	0.5956389868
227	0.5956159438
228	0.5955932385
229	0.5955722057
230	0.5955628158
231	0.5955414682
232	0.5955101597
233	0.5954928894
234	0.5954881005
235	0.5954725719
236	0.5954579422
237	0.5954251772
238	0.5954112862
