iter	Passed	Remaining
0	278	278141
1	499	249095
2	732	243274
3	986	245567
4	1213	241439
5	1464	242567
6	1698	240971
7	1929	239288
8	2155	237337
9	2401	237708
10	2643	237671
11	2890	238016
12	3115	236531
13	3340	235273
14	3579	235065
15	3818	234845
16	4071	235448
17	4310	235147
18	4552	235070
19	4806	235506
20	5038	234877
21	5292	235274
22	5546	235608
23	5792	235547
24	6024	234974
25	6278	235191
26	6517	234864
27	6752	234402
28	7000	234409
29	7203	232919
30	7430	232276
31	7658	231679
32	7907	231718
33	8136	231170
34	8370	230784
35	8628	231052
36	8858	230550
37	9084	229993
38	9338	230120
39	9574	229794
40	9822	229742
41	10073	229780
42	10313	229543
43	10554	229318
44	10814	229499
45	11050	229179
46	11306	229266
47	11532	228718
48	11776	228559
49	12014	228279
50	12257	228093
51	12500	227884
52	12751	227838
53	13000	227741
54	13231	227348
55	13473	227128
56	13717	226945
57	13942	226442
58	14173	226051
59	14393	225500
60	14626	225147
61	14852	224700
62	15098	224560
63	15349	224490
64	15593	224302
65	15836	224107
66	16082	223950
67	16326	223762
68	16560	223451
69	16780	222941
70	17028	222808
71	17284	222773
72	17511	222367
73	17756	222200
74	18008	222104
75	18237	221733
76	18455	221224
77	18697	221013
78	18915	220518
79	19163	220384
80	19412	220247
81	19625	219713
82	19871	219543
83	20094	219127
84	20328	218830
85	20569	218614
86	20796	218248
87	21043	218085
88	21288	217909
89	21534	217736
90	21768	217447
91	22018	217308
92	22248	216979
93	22497	216839
94	22718	216420
95	22962	216226
96	23194	215926
97	23438	215732
98	23679	215509
99	23938	215448
100	24176	215190
101	24409	214903
102	24644	214626
103	24876	214317
104	25104	213988
105	25339	213708
106	25584	213519
107	25833	213369
108	26066	213072
109	26298	212780
110	26528	212469
111	26761	212176
112	26988	211851
113	27217	211531
114	27477	211454
115	27731	211335
116	27959	211012
117	28207	210838
118	28458	210685
119	28698	210452
120	28942	210252
121	29162	209874
122	29376	209460
123	29606	209154
124	29852	208970
125	30107	208838
126	30327	208474
127	30568	208245
128	30792	207906
129	31043	207751
130	31297	207614
131	31541	207407
132	31766	207081
133	32006	206848
134	32266	206741
135	32516	206576
136	32765	206399
137	33000	206130
138	33216	205749
139	33464	205565
140	33714	205394
141	33954	205164
142	34201	204971
143	34454	204809
144	34708	204660
145	34956	204470
146	35164	204049
147	35413	203868
148	35662	203684
149	35878	203312
150	36127	203130
151	36391	203026
152	36643	202855
153	36888	202648
154	37125	202393
155	37350	202076
156	37587	201821
157	37849	201704
158	38089	201468
159	38359	201386
160	38605	201179
161	38855	200992
162	39093	200744
163	39330	200489
164	39575	200277
165	39800	199962
166	40041	199726
167	40299	199578
168	40560	199443
169	40792	199163
170	41030	198912
171	41268	198663
172	41517	198466
173	41763	198255
174	42010	198048
175	42245	197786
176	42500	197615
177	42751	197426
178	42999	197221
179	43170	196664
180	43412	196433
181	43657	196217
182	43902	196003
183	44151	195800
184	44428	195727
185	44686	195565
186	44945	195404
187	45178	195134
188	45434	194958
189	45690	194784
190	45919	194494
191	46159	194253
192	46409	194053
193	46663	193870
194	46912	193662
195	47151	193418
196	47399	193208
197	47642	192974
198	47885	192746
199	48140	192563
200	48381	192322
201	48621	192079
202	48876	191894
203	49112	191634
204	49362	191432
205	49611	191221
206	49840	190936
207	50081	190696
208	50352	190568
209	50592	190323
210	50837	190099
211	51086	189886
212	51295	189528
213	51527	189255
214	51769	189017
215	52017	188803
216	52276	188627
217	52532	188443
218	52780	188225
219	53027	188006
220	53265	187755
221	53496	187478
222	53743	187258
223	53999	187070
224	54257	186886
225	54446	186466
226	54700	186272
227	54948	186054
228	55207	185871
229	55454	185653
230	55709	185457
231	55950	185214
232	56199	184998
233	56425	184709
234	56575	184172
235	56817	183934
236	57068	183727
237	57315	183506
238	57572	183316
239	57790	183002
240	58035	182776
241	58271	182521
242	58531	182338
243	58756	182048
244	58988	181782
245	59240	181573
246	59478	181324
247	59718	181081
248	59956	180832
249	60187	180561
250	60429	180326
251	60702	180181
252	60941	179934
253	61179	179683
254	61421	179447
255	61679	179257
256	61933	179051
257	62189	178856
258	62424	178597
259	62689	178422
260	62936	178198
261	63181	177968
262	63414	177704
263	63670	177504
264	63888	177199
265	64135	176975
266	64386	176761
267	64629	176526
268	64875	176296
269	65121	176069
270	65362	175826
271	65582	175530
272	65826	175296
273	66050	175008
274	66292	174771
275	66515	174483
276	66774	174287
277	67022	174064
278	67262	173821
279	67509	173595
280	67742	173333
281	67996	173124
282	68234	172875
283	68494	172682
284	68737	172447
285	68995	172248
286	69233	171998
287	69480	171770
288	69704	171487
289	69935	171220
290	70173	170972
291	70419	170742
292	70659	170499
293	70912	170287
294	71165	170073
295	71422	169868
296	71643	169581
